Title,Company,Link,Tech Stack
Unknown Title,Unknown Company,https://www.wanted.co.kr/wd/278990,Java; C++; Git; PostgreSQL; MySQL; Spring Boot; iOS; Spring; AWS; React; Python; Android
Unknown Title,Unknown Company,https://www.wanted.co.kr/wd/266229,Java; PostgreSQL; Node.js; MongoDB; iOS; Spring; AWS; Python; Android
Unknown Title,Unknown Company,https://www.wanted.co.kr/wd/278938,React Native; React; Python; Android
Unknown Title,Unknown Company,https://www.wanted.co.kr/wd/278890,Node.js; iOS; AWS; Python
Unknown Title,Unknown Company,https://www.wanted.co.kr/wd/278817,MySQL; PHP; Node.js; React Native; React; Android
Unknown Title,Unknown Company,https://www.wanted.co.kr/wd/278650,C#; C++; iOS; Python; Android
Unknown Title,Unknown Company,https://www.wanted.co.kr/wd/278796,Java; C++; Node.js; React Native; React; Python; Android
Unknown Title,Unknown Company,https://www.wanted.co.kr/wd/278792,Java; C++; Node.js; React Native; React; Python; Android
Unknown Title,Unknown Company,https://www.wanted.co.kr/wd/278425,Java; C++; React Native; iOS; AWS; React; Python
Unknown Title,Unknown Company,https://www.wanted.co.kr/wd/278770,Java; Git; Docker; PostgreSQL; MySQL; Redis; Spring Boot; Spring; AWS; Android
Unknown Title,Unknown Company,https://www.wanted.co.kr/wd/278610,TypeScript; Git; PostgreSQL; Spring Boot; Node.js; React Native; Spring; React; Kotlin; Android
Unknown Title,Unknown Company,https://www.wanted.co.kr/wd/278723,Java; C++; Go; Redis; Node.js; Kotlin; Android; Git; MySQL; MongoDB; Python; Flask; Kubernetes
Unknown Title,Unknown Company,https://www.wanted.co.kr/wd/159038,Java; Go; Redis; Node.js; React; TypeScript; Git; Elasticsearch; Docker; GCP; MongoDB; React Native; AWS; Python
Unknown Title,Unknown Company,https://www.wanted.co.kr/wd/278604,Java; MySQL; Go; Node.js; iOS; Spring; Python; Android
Unknown Title,Unknown Company,https://www.wanted.co.kr/wd/276684,Django; MySQL; Node.js; React Native; React; Python
Unknown Title,Unknown Company,https://www.wanted.co.kr/wd/275761,Elasticsearch; Docker; MySQL; Node.js; iOS; AWS; Python; Kubernetes
Unknown Title,Unknown Company,https://www.wanted.co.kr/wd/278579,Java; Docker; MySQL; Redis; Spring Boot; Node.js; iOS; Spring; AWS; Python; Android
Unknown Title,Unknown Company,https://www.wanted.co.kr/wd/278559,C++; Git; Docker; Node.js; React Native; React; Python
Unknown Title,Unknown Company,https://www.wanted.co.kr/wd/278565,Java; MySQL; Spring Boot; Node.js; React Native; Spring; React; Python; Android
Unknown Title,Unknown Company,https://www.wanted.co.kr/wd/278562,GCP; React Native; AWS; React; Android
